ticker,grupo,primeiro_dia,ultimo_dia,numero_dias,numero_dias_validos,numero_observacoes_intradiarias,observacoes_medias_por_dia,cobertura_media_candles,proporcao_precos_parados,positive_volume_share,dias_removidos_falta_dados,status,razao_exclusao
PETR4.SA,core_liquid,2026-03-17,2026-06-12,60,60,4953,82.55,0.8598958333333333,0.20669603524229074,0.9909391252582921,0,included,
VALE3.SA,core_liquid,2026-03-17,2026-06-12,60,60,4955,82.58333333333333,0.8602430555555555,0.17318534178999295,0.9905375232594679,0,included,
ITUB4.SA,core_liquid,2026-03-17,2026-06-12,60,60,4960,82.66666666666667,0.8611111111111113,0.21721527900017604,0.9901506140706846,0,included,
BBDC4.SA,core_liquid,2026-03-17,2026-06-12,60,60,4949,82.48333333333333,0.8592013888888891,0.3019932968777562,0.991950608818895,0,included,
B3SA3.SA,core_liquid,2026-03-17,2026-06-12,60,60,4931,82.18333333333334,0.8560763888888888,0.2520339582596392,0.9945513762366539,0,included,
WEGE3.SA,core_liquid,2026-03-17,2026-06-12,60,60,4950,82.5,0.8593750000000002,0.18917489421720735,0.991551453372314,0,included,
ABEV3.SA,core_liquid,2026-03-17,2026-06-12,60,60,4956,82.6,0.8604166666666668,0.33814469283576837,0.9913556665687139,0,included,
TOTS3.SA,core_liquid,2026-03-17,2026-06-12,60,60,4941,82.35,0.8578125,0.20472996823155665,0.9911202775570817,0,included,
LWSA3.SA,high_vol_growth_candidate,2026-03-17,2026-06-12,60,60,4963,82.71666666666667,0.8616319444444446,0.46211988047108454,0.9883362719169361,0,included,
MGLU3.SA,high_vol_growth_candidate,2026-03-17,2026-06-12,60,60,4944,82.4,0.8583333333333333,0.3466831333803811,0.9919357927040894,0,included,
BHIA3.SA,high_vol_growth_candidate,2026-03-17,2026-06-12,60,60,4955,82.58333333333333,0.8602430555555557,0.5850615114235501,0.9805932815092064,0,excluded,precos parados 58.5% acima do maximo
CASH3.SA,high_vol_growth_candidate,2026-03-17,2026-06-12,60,60,4952,82.53333333333333,0.8597222222222223,0.4517489892775532,0.9820343637422317,0,included,
CVCB3.SA,high_vol_growth_candidate,2026-03-17,2026-06-12,60,60,4957,82.61666666666666,0.8605902777777779,0.5784934882083773,0.985498029455975,0,excluded,precos parados 57.8% acima do maximo
AZUL4.SA,high_vol_growth_candidate,,,0,0,0,0.0,0.0,,0.0,0,excluded,download vazio
VIIA3.SA,high_vol_growth_candidate,,,0,0,0,0.0,0.0,,0.0,0,excluded,download vazio
